#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Component	GO:0042645	Mitochondrial nucleoid	4	46	1.43	0.0026	9606.ENSP00000262030,9606.ENSP00000297185,9606.ENSP00000378487,9606.ENSP00000446252	ATP5F1B,HSPA9,VDAC1,SOD2
GO Component	GO:0005622	Intracellular anatomical structure	60	14891	0.1	0.0042	9606.ENSP00000188790,9606.ENSP00000216802,9606.ENSP00000216962,9606.ENSP00000224807,9606.ENSP00000233025,9606.ENSP00000253413,9606.ENSP00000261263,9606.ENSP00000262030,9606.ENSP00000262428,9606.ENSP00000264065,9606.ENSP00000273258,9606.ENSP00000273398,9606.ENSP00000282382,9606.ENSP00000290349,9606.ENSP00000291568,9606.ENSP00000296511,9606.ENSP00000297185,9606.ENSP00000302886,9606.ENSP00000303992,9606.ENSP00000308405,9606.ENSP00000309477,9606.ENSP00000323867,9606.ENSP00000324422,9606.ENSP00000325240,9606.ENSP00000328088,9606.ENSP00000328484,9606.ENSP00000330074,9606.ENSP00000331019,9606.ENSP00000331897,9606.ENSP00000341625,9606.ENSP00000346088,9606.ENSP00000346120,9606.ENSP00000347495,9606.ENSP00000348461,9606.ENSP00000352438,9606.ENSP00000354468,9606.ENSP00000354612,9606.ENSP00000355325,9606.ENSP00000357695,9606.ENSP00000357980,9606.ENSP00000363745,9606.ENSP00000364119,9606.ENSP00000364935,9606.ENSP00000364949,9606.ENSP00000367220,9606.ENSP00000370254,9606.ENSP00000371554,9606.ENSP00000377958,9606.ENSP00000378487,9606.ENSP00000380781,9606.ENSP00000399457,9606.ENSP00000404854,9606.ENSP00000408411,9606.ENSP00000422896,9606.ENSP00000431240,9606.ENSP00000446252,9606.ENSP00000478061,9606.ENSP00000480270,9606.ENSP00000499501,9606.ENSP00000499935	FAP,PSME2,PYGB,SFXN3,SPCS1,ATP6V1E1,RAB21,ATP5F1B,COTL1,DNAJC10,ARL6IP5,ATP6V1A,TMED7-TICAM2,CBR1,CSTB,ANXA5,HSPA9,PA2G4,TMEM43,H2AZ2,ACO1,PRKAG1,ZYX,LASP1,PAWR,H2AC14,H1-5,RPS27L,IDH2,CYB5A,RPL22,DDX21,WARS1,RAC1,PCBP2,CYB5R3,PTGS1,PSMB5,S100A16,HTRA1,HNRNPR,EIF2S2,CLIC1,DDAH2,ACTR2,AKR1C1,SOD3,CCT4,VDAC1,NFIX,DDOST,NDRG1,LAMP2,SEPTIN11,RPLP2,SOD2,MARCKS,PPP1R18,H3-2,AK2
GO Component	GO:0033178	Proton-transporting two-sector ATPase complex, catalytic domain	3	19	1.69	0.0052	9606.ENSP00000253413,9606.ENSP00000262030,9606.ENSP00000273398	ATP6V1E1,ATP5F1B,ATP6V1A
GO Component	GO:0043227	Membrane-bounded organelle	56	13188	0.12	0.0060	9606.ENSP00000216802,9606.ENSP00000216962,9606.ENSP00000224807,9606.ENSP00000233025,9606.ENSP00000253413,9606.ENSP00000261263,9606.ENSP00000262030,9606.ENSP00000262428,9606.ENSP00000264065,9606.ENSP00000273258,9606.ENSP00000273398,9606.ENSP00000282382,9606.ENSP00000290349,9606.ENSP00000291568,9606.ENSP00000296511,9606.ENSP00000297185,9606.ENSP00000302886,9606.ENSP00000303992,9606.ENSP00000308405,9606.ENSP00000309477,9606.ENSP00000323867,9606.ENSP00000324422,9606.ENSP00000328088,9606.ENSP00000328484,9606.ENSP00000330074,9606.ENSP00000331019,9606.ENSP00000331897,9606.ENSP00000341625,9606.ENSP00000346088,9606.ENSP00000346120,9606.ENSP00000347495,9606.ENSP00000348461,9606.ENSP00000352438,9606.ENSP00000354468,9606.ENSP00000354612,9606.ENSP00000355325,9606.ENSP00000357695,9606.ENSP00000357980,9606.ENSP00000360021,9606.ENSP00000363745,9606.ENSP00000364935,9606.ENSP00000364949,9606.ENSP00000367220,9606.ENSP00000370254,9606.ENSP00000371554,9606.ENSP00000377958,9606.ENSP00000378487,9606.ENSP00000380781,9606.ENSP00000399457,9606.ENSP00000404854,9606.ENSP00000408411,9606.ENSP00000431240,9606.ENSP00000446252,9606.ENSP00000478061,9606.ENSP00000499501,9606.ENSP00000499935	PSME2,PYGB,SFXN3,SPCS1,ATP6V1E1,RAB21,ATP5F1B,COTL1,DNAJC10,ARL6IP5,ATP6V1A,TMED7-TICAM2,CBR1,CSTB,ANXA5,HSPA9,PA2G4,TMEM43,H2AZ2,ACO1,PRKAG1,ZYX,PAWR,H2AC14,H1-5,RPS27L,IDH2,CYB5A,RPL22,DDX21,WARS1,RAC1,PCBP2,CYB5R3,PTGS1,PSMB5,S100A16,HTRA1,GNG12,HNRNPR,CLIC1,DDAH2,ACTR2,AKR1C1,SOD3,CCT4,VDAC1,NFIX,DDOST,NDRG1,LAMP2,RPLP2,SOD2,MARCKS,H3-2,AK2
GO Component	GO:0005775	Vacuolar lumen	5	175	0.95	0.0246	9606.ENSP00000216962,9606.ENSP00000302886,9606.ENSP00000354468,9606.ENSP00000367220,9606.ENSP00000408411	PYGB,PA2G4,CYB5R3,ACTR2,LAMP2
GO Component	GO:0030054	Cell junction	17	2115	0.4	0.0246	9606.ENSP00000188790,9606.ENSP00000253413,9606.ENSP00000261263,9606.ENSP00000296511,9606.ENSP00000297185,9606.ENSP00000324422,9606.ENSP00000325240,9606.ENSP00000346088,9606.ENSP00000348461,9606.ENSP00000352438,9606.ENSP00000366694,9606.ENSP00000367220,9606.ENSP00000378487,9606.ENSP00000404854,9606.ENSP00000422896,9606.ENSP00000431240,9606.ENSP00000478061	FAP,ATP6V1E1,RAB21,ANXA5,HSPA9,ZYX,LASP1,RPL22,RAC1,PCBP2,KCTD12,ACTR2,VDAC1,NDRG1,SEPTIN11,RPLP2,MARCKS
GO Component	GO:0032991	Protein-containing complex	31	5506	0.25	0.0246	9606.ENSP00000188790,9606.ENSP00000216802,9606.ENSP00000233025,9606.ENSP00000253413,9606.ENSP00000262030,9606.ENSP00000264065,9606.ENSP00000273398,9606.ENSP00000297185,9606.ENSP00000308405,9606.ENSP00000323867,9606.ENSP00000328484,9606.ENSP00000330074,9606.ENSP00000331019,9606.ENSP00000346088,9606.ENSP00000346120,9606.ENSP00000347495,9606.ENSP00000348461,9606.ENSP00000354468,9606.ENSP00000355325,9606.ENSP00000360021,9606.ENSP00000363745,9606.ENSP00000364119,9606.ENSP00000364935,9606.ENSP00000367220,9606.ENSP00000377958,9606.ENSP00000378487,9606.ENSP00000399457,9606.ENSP00000408411,9606.ENSP00000422896,9606.ENSP00000431240,9606.ENSP00000499501	FAP,PSME2,SPCS1,ATP6V1E1,ATP5F1B,DNAJC10,ATP6V1A,HSPA9,H2AZ2,PRKAG1,H2AC14,H1-5,RPS27L,RPL22,DDX21,WARS1,RAC1,CYB5R3,PSMB5,GNG12,HNRNPR,EIF2S2,CLIC1,ACTR2,CCT4,VDAC1,DDOST,LAMP2,SEPTIN11,RPLP2,H3-2
GO Component	GO:0035578	Azurophil granule lumen	4	91	1.14	0.0246	9606.ENSP00000216962,9606.ENSP00000302886,9606.ENSP00000354468,9606.ENSP00000367220	PYGB,PA2G4,CYB5R3,ACTR2
GO Component	GO:0043232	Intracellular non-membrane-bounded organelle	30	5191	0.26	0.0246	9606.ENSP00000262030,9606.ENSP00000262428,9606.ENSP00000273258,9606.ENSP00000291568,9606.ENSP00000297185,9606.ENSP00000302886,9606.ENSP00000308405,9606.ENSP00000324422,9606.ENSP00000325240,9606.ENSP00000328088,9606.ENSP00000328484,9606.ENSP00000330074,9606.ENSP00000331019,9606.ENSP00000346088,9606.ENSP00000346120,9606.ENSP00000348461,9606.ENSP00000354468,9606.ENSP00000355325,9606.ENSP00000357695,9606.ENSP00000367220,9606.ENSP00000377958,9606.ENSP00000378487,9606.ENSP00000380781,9606.ENSP00000404854,9606.ENSP00000422896,9606.ENSP00000431240,9606.ENSP00000446252,9606.ENSP00000478061,9606.ENSP00000480270,9606.ENSP00000499501	ATP5F1B,COTL1,ARL6IP5,CSTB,HSPA9,PA2G4,H2AZ2,ZYX,LASP1,PAWR,H2AC14,H1-5,RPS27L,RPL22,DDX21,RAC1,CYB5R3,PSMB5,S100A16,ACTR2,CCT4,VDAC1,NFIX,NDRG1,SEPTIN11,RPLP2,SOD2,MARCKS,PPP1R18,H3-2
GO Component	GO:0101002	ficolin-1-rich granule	5	185	0.93	0.0275	9606.ENSP00000262428,9606.ENSP00000291568,9606.ENSP00000348461,9606.ENSP00000367220,9606.ENSP00000408411	COTL1,CSTB,RAC1,ACTR2,LAMP2
GO Component	GO:0005938	Cell cortex	6	304	0.79	0.0340	9606.ENSP00000262428,9606.ENSP00000325240,9606.ENSP00000348461,9606.ENSP00000367220,9606.ENSP00000422896,9606.ENSP00000478061	COTL1,LASP1,RAC1,ACTR2,SEPTIN11,MARCKS
GO Component	GO:0030141	Secretory granule	10	873	0.55	0.0340	9606.ENSP00000216962,9606.ENSP00000262428,9606.ENSP00000273398,9606.ENSP00000291568,9606.ENSP00000302886,9606.ENSP00000348461,9606.ENSP00000354468,9606.ENSP00000367220,9606.ENSP00000399457,9606.ENSP00000408411	PYGB,COTL1,ATP6V1A,CSTB,PA2G4,RAC1,CYB5R3,ACTR2,DDOST,LAMP2
GO Component	GO:0099503	Secretory vesicle	11	1047	0.52	0.0340	9606.ENSP00000216962,9606.ENSP00000253413,9606.ENSP00000262428,9606.ENSP00000273398,9606.ENSP00000291568,9606.ENSP00000302886,9606.ENSP00000348461,9606.ENSP00000354468,9606.ENSP00000367220,9606.ENSP00000399457,9606.ENSP00000408411	PYGB,ATP6V1E1,COTL1,ATP6V1A,CSTB,PA2G4,RAC1,CYB5R3,ACTR2,DDOST,LAMP2
GO Component	GO:0005829	Cytosol	30	5438	0.24	0.0393	9606.ENSP00000216802,9606.ENSP00000253413,9606.ENSP00000261263,9606.ENSP00000262428,9606.ENSP00000273398,9606.ENSP00000290349,9606.ENSP00000291568,9606.ENSP00000296511,9606.ENSP00000309477,9606.ENSP00000323867,9606.ENSP00000324422,9606.ENSP00000331019,9606.ENSP00000331897,9606.ENSP00000341625,9606.ENSP00000346088,9606.ENSP00000346120,9606.ENSP00000347495,9606.ENSP00000348461,9606.ENSP00000352438,9606.ENSP00000354468,9606.ENSP00000355325,9606.ENSP00000357695,9606.ENSP00000357980,9606.ENSP00000364119,9606.ENSP00000364949,9606.ENSP00000367220,9606.ENSP00000370254,9606.ENSP00000377958,9606.ENSP00000404854,9606.ENSP00000431240	PSME2,ATP6V1E1,RAB21,COTL1,ATP6V1A,CBR1,CSTB,ANXA5,ACO1,PRKAG1,ZYX,RPS27L,IDH2,CYB5A,RPL22,DDX21,WARS1,RAC1,PCBP2,CYB5R3,PSMB5,S100A16,HTRA1,EIF2S2,DDAH2,ACTR2,AKR1C1,CCT4,NDRG1,RPLP2
GO Component	GO:0034774	Secretory granule lumen	6	321	0.77	0.0398	9606.ENSP00000216962,9606.ENSP00000262428,9606.ENSP00000291568,9606.ENSP00000302886,9606.ENSP00000354468,9606.ENSP00000367220	PYGB,COTL1,CSTB,PA2G4,CYB5R3,ACTR2
GO Component	GO:0043229	Intracellular organelle	54	13231	0.11	0.0436	9606.ENSP00000216802,9606.ENSP00000216962,9606.ENSP00000224807,9606.ENSP00000233025,9606.ENSP00000253413,9606.ENSP00000261263,9606.ENSP00000262030,9606.ENSP00000262428,9606.ENSP00000264065,9606.ENSP00000273258,9606.ENSP00000273398,9606.ENSP00000282382,9606.ENSP00000291568,9606.ENSP00000297185,9606.ENSP00000302886,9606.ENSP00000303992,9606.ENSP00000308405,9606.ENSP00000309477,9606.ENSP00000323867,9606.ENSP00000324422,9606.ENSP00000325240,9606.ENSP00000328088,9606.ENSP00000328484,9606.ENSP00000330074,9606.ENSP00000331019,9606.ENSP00000331897,9606.ENSP00000341625,9606.ENSP00000346088,9606.ENSP00000346120,9606.ENSP00000347495,9606.ENSP00000348461,9606.ENSP00000352438,9606.ENSP00000354468,9606.ENSP00000354612,9606.ENSP00000355325,9606.ENSP00000357695,9606.ENSP00000363745,9606.ENSP00000364935,9606.ENSP00000364949,9606.ENSP00000367220,9606.ENSP00000371554,9606.ENSP00000377958,9606.ENSP00000378487,9606.ENSP00000380781,9606.ENSP00000399457,9606.ENSP00000404854,9606.ENSP00000408411,9606.ENSP00000422896,9606.ENSP00000431240,9606.ENSP00000446252,9606.ENSP00000478061,9606.ENSP00000480270,9606.ENSP00000499501,9606.ENSP00000499935	PSME2,PYGB,SFXN3,SPCS1,ATP6V1E1,RAB21,ATP5F1B,COTL1,DNAJC10,ARL6IP5,ATP6V1A,TMED7-TICAM2,CSTB,HSPA9,PA2G4,TMEM43,H2AZ2,ACO1,PRKAG1,ZYX,LASP1,PAWR,H2AC14,H1-5,RPS27L,IDH2,CYB5A,RPL22,DDX21,WARS1,RAC1,PCBP2,CYB5R3,PTGS1,PSMB5,S100A16,HNRNPR,CLIC1,DDAH2,ACTR2,SOD3,CCT4,VDAC1,NFIX,DDOST,NDRG1,LAMP2,SEPTIN11,RPLP2,SOD2,MARCKS,PPP1R18,H3-2,AK2
GO Component	GO:0000221	Vacuolar proton-transporting V-type ATPase, V1 domain	2	11	1.75	0.0444	9606.ENSP00000253413,9606.ENSP00000273398	ATP6V1E1,ATP6V1A
GO Component	GO:0015629	Actin cytoskeleton	7	482	0.66	0.0490	9606.ENSP00000262428,9606.ENSP00000324422,9606.ENSP00000325240,9606.ENSP00000328088,9606.ENSP00000367220,9606.ENSP00000422896,9606.ENSP00000478061	COTL1,ZYX,LASP1,PAWR,ACTR2,SEPTIN11,MARCKS
Reactome	HSA-2262752	Cellular responses to stress	14	747	0.77	0.00021	9606.ENSP00000216802,9606.ENSP00000253413,9606.ENSP00000273398,9606.ENSP00000297185,9606.ENSP00000308405,9606.ENSP00000328484,9606.ENSP00000330074,9606.ENSP00000331019,9606.ENSP00000346088,9606.ENSP00000355325,9606.ENSP00000364119,9606.ENSP00000371554,9606.ENSP00000431240,9606.ENSP00000446252	PSME2,ATP6V1E1,ATP6V1A,HSPA9,H2AZ2,H2AC14,H1-5,RPS27L,RPL22,PSMB5,EIF2S2,SOD3,RPLP2,SOD2
Reactome	HSA-168249	Innate Immune System	14	1041	0.62	0.0034	9606.ENSP00000216802,9606.ENSP00000216962,9606.ENSP00000253413,9606.ENSP00000262428,9606.ENSP00000273398,9606.ENSP00000291568,9606.ENSP00000302886,9606.ENSP00000348461,9606.ENSP00000352438,9606.ENSP00000354468,9606.ENSP00000355325,9606.ENSP00000367220,9606.ENSP00000399457,9606.ENSP00000408411	PSME2,PYGB,ATP6V1E1,COTL1,ATP6V1A,CSTB,PA2G4,RAC1,PCBP2,CYB5R3,PSMB5,ACTR2,DDOST,LAMP2
Reactome	HSA-1592230	Mitochondrial biogenesis	5	93	1.23	0.0070	9606.ENSP00000262030,9606.ENSP00000297185,9606.ENSP00000323867,9606.ENSP00000331897,9606.ENSP00000446252	ATP5F1B,HSPA9,PRKAG1,IDH2,SOD2
Reactome	HSA-9711097	Cellular response to starvation	6	155	1.08	0.0070	9606.ENSP00000253413,9606.ENSP00000273398,9606.ENSP00000331019,9606.ENSP00000346088,9606.ENSP00000364119,9606.ENSP00000431240	ATP6V1E1,ATP6V1A,RPS27L,RPL22,EIF2S2,RPLP2
