#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Component	GO:0070062	Extracellular exosome	29	2096	0.31	0.0143	9606.ENSP00000078429,9606.ENSP00000223127,9606.ENSP00000245932,9606.ENSP00000252804,9606.ENSP00000256196,9606.ENSP00000285930,9606.ENSP00000288235,9606.ENSP00000294785,9606.ENSP00000297268,9606.ENSP00000305988,9606.ENSP00000319096,9606.ENSP00000331201,9606.ENSP00000342374,9606.ENSP00000350949,9606.ENSP00000353731,9606.ENSP00000357709,9606.ENSP00000377470,9606.ENSP00000382814,9606.ENSP00000388996,9606.ENSP00000389103,9606.ENSP00000392043,9606.ENSP00000399229,9606.ENSP00000400175,9606.ENSP00000408005,9606.ENSP00000411719,9606.ENSP00000429931,9606.ENSP00000479153,9606.ENSP00000496250,9606.ENSP00000499387	GNA11,PLOD3,VASP,PXDN,RRAS2,AKR1B1,MYO1E,NCSTN,COL1A2,ALCAM,RAP2B,HGS,SNRPD2,GMPPA,DPP4,S100A6,CNP,FAM234A,AP1M1,RPL23A,ATP2B1,MXRA8,RHOA,SLC9A3R2,MPST,EIF3H,EHD1,RPL11,SDF4
GO Component	GO:0005783	Endoplasmic reticulum	28	2021	0.31	0.0149	9606.ENSP00000215567,9606.ENSP00000223127,9606.ENSP00000223641,9606.ENSP00000252804,9606.ENSP00000256196,9606.ENSP00000260128,9606.ENSP00000265052,9606.ENSP00000293379,9606.ENSP00000294785,9606.ENSP00000297268,9606.ENSP00000297679,9606.ENSP00000307889,9606.ENSP00000313854,9606.ENSP00000346015,9606.ENSP00000347649,9606.ENSP00000353720,9606.ENSP00000354677,9606.ENSP00000356584,9606.ENSP00000360882,9606.ENSP00000363809,9606.ENSP00000367038,9606.ENSP00000369757,9606.ENSP00000393316,9606.ENSP00000399229,9606.ENSP00000400175,9606.ENSP00000464342,9606.ENSP00000478600,9606.ENSP00000499387	TECR,PLOD3,SEC61B,PXDN,RRAS2,SULF1,MGLL,ITGA5,NCSTN,COL1A2,HSD3B7,RPL13,CLPTM1L,RPL27A,P3H4,CES1,GPX7,TOR1AIP2,COL5A1,SLC39A7,RRBP1,RPS6,TMX1,MXRA8,RHOA,RPL36,P3H3,SDF4
GO Component	GO:0005852	Eukaryotic translation initiation factor 3 complex	3	15	1.47	0.0149	9606.ENSP00000253108,9606.ENSP00000429931,9606.ENSP00000436049	EIF3G,EIF3H,EIF3M
GO Component	GO:0033290	Eukaryotic 48S preinitiation complex	3	15	1.47	0.0149	9606.ENSP00000253108,9606.ENSP00000429931,9606.ENSP00000436049	EIF3G,EIF3H,EIF3M
GO Component	GO:0045244	succinate-CoA ligase complex (GDP-forming)	2	2	2.17	0.0162	9606.ENSP00000377446,9606.ENSP00000419325	SUCLG1,SUCLG2
GO Component	GO:0031090	Organelle membrane	42	3673	0.23	0.0177	9606.ENSP00000078429,9606.ENSP00000204566,9606.ENSP00000215567,9606.ENSP00000223127,9606.ENSP00000223641,9606.ENSP00000225665,9606.ENSP00000252711,9606.ENSP00000256196,9606.ENSP00000260102,9606.ENSP00000265052,9606.ENSP00000269143,9606.ENSP00000270176,9606.ENSP00000294785,9606.ENSP00000296557,9606.ENSP00000297679,9606.ENSP00000301587,9606.ENSP00000308610,9606.ENSP00000313854,9606.ENSP00000314615,9606.ENSP00000319096,9606.ENSP00000319992,9606.ENSP00000331201,9606.ENSP00000343635,9606.ENSP00000348886,9606.ENSP00000353731,9606.ENSP00000354876,9606.ENSP00000356584,9606.ENSP00000358272,9606.ENSP00000359504,9606.ENSP00000363809,9606.ENSP00000367038,9606.ENSP00000373706,9606.ENSP00000377470,9606.ENSP00000388996,9606.ENSP00000391942,9606.ENSP00000392043,9606.ENSP00000393316,9606.ENSP00000399229,9606.ENSP00000400175,9606.ENSP00000417354,9606.ENSP00000419088,9606.ENSP00000479153	GNA11,SPG21,TECR,PLOD3,SEC61B,SLC25A11,NDUFA10,RRAS2,MRPL15,MGLL,AFG3L2,SCYL1,NCSTN,ARFIP1,HSD3B7,ATP5PD,GPD2,CLPTM1L,ARFGAP1,RAP2B,TMEM11,HGS,MEAK7,STOML2,DPP4,MT-CO2,TOR1AIP2,NDUFAF4,GBP1,SLC39A7,RRBP1,DIAPH1,CNP,AP1M1,NECAP2,ATP2B1,TMX1,MXRA8,RHOA,GOLIM4,FAM162A,EHD1
GO Component	GO:0016282	Eukaryotic 43S preinitiation complex	3	17	1.41	0.0180	9606.ENSP00000253108,9606.ENSP00000429931,9606.ENSP00000436049	EIF3G,EIF3H,EIF3M
GO Component	GO:0110165	Cellular anatomical entity	133	18293	0.03	0.0299	9606.ENSP00000078429,9606.ENSP00000171887,9606.ENSP00000204566,9606.ENSP00000215567,9606.ENSP00000222388,9606.ENSP00000223127,9606.ENSP00000223641,9606.ENSP00000225665,9606.ENSP00000233078,9606.ENSP00000242351,9606.ENSP00000245932,9606.ENSP00000246337,9606.ENSP00000251157,9606.ENSP00000252711,9606.ENSP00000252804,9606.ENSP00000253108,9606.ENSP00000254108,9606.ENSP00000256194,9606.ENSP00000256196,9606.ENSP00000260102,9606.ENSP00000260128,9606.ENSP00000261427,9606.ENSP00000261667,9606.ENSP00000265052,9606.ENSP00000269143,9606.ENSP00000270176,9606.ENSP00000285930,9606.ENSP00000288235,9606.ENSP00000289968,9606.ENSP00000293379,9606.ENSP00000294785,9606.ENSP00000296557,9606.ENSP00000296585,9606.ENSP00000297268,9606.ENSP00000297679,9606.ENSP00000298198,9606.ENSP00000301587,9606.ENSP00000304102,9606.ENSP00000305988,9606.ENSP00000307889,9606.ENSP00000308610,9606.ENSP00000309830,9606.ENSP00000313854,9606.ENSP00000314615,9606.ENSP00000317904,9606.ENSP00000319096,9606.ENSP00000319992,9606.ENSP00000320084,9606.ENSP00000326261,9606.ENSP00000326804,9606.ENSP00000331201,9606.ENSP00000339587,9606.ENSP00000340836,9606.ENSP00000341117,9606.ENSP00000342374,9606.ENSP00000343635,9606.ENSP00000346015,9606.ENSP00000347649,9606.ENSP00000348099,9606.ENSP00000348886,9606.ENSP00000350949,9606.ENSP00000351646,9606.ENSP00000353720,9606.ENSP00000353731,9606.ENSP00000354201,9606.ENSP00000354677,9606.ENSP00000354876,9606.ENSP00000355467,9606.ENSP00000356056,9606.ENSP00000356584,9606.ENSP00000357113,9606.ENSP00000357709,9606.ENSP00000357873,9606.ENSP00000358272,9606.ENSP00000358307,9606.ENSP00000359504,9606.ENSP00000360184,9606.ENSP00000360882,9606.ENSP00000362299,9606.ENSP00000363205,9606.ENSP00000363809,9606.ENSP00000364721,9606.ENSP00000365147,9606.ENSP00000366757,9606.ENSP00000367038,9606.ENSP00000369071,9606.ENSP00000369424,9606.ENSP00000369757,9606.ENSP00000370010,9606.ENSP00000370588,9606.ENSP00000370839,9606.ENSP00000371362,9606.ENSP00000371388,9606.ENSP00000373706,9606.ENSP00000375730,9606.ENSP00000377195,9606.ENSP00000377446,9606.ENSP00000377470,9606.ENSP00000381461,9606.ENSP00000382814,9606.ENSP00000384126,9606.ENSP00000388996,9606.ENSP00000389103,9606.ENSP00000389168,9606.ENSP00000391942,9606.ENSP00000392043,9606.ENSP00000393316,9606.ENSP00000399229,9606.ENSP00000400142,9606.ENSP00000400175,9606.ENSP00000408005,9606.ENSP00000411719,9606.ENSP00000415151,9606.ENSP00000417354,9606.ENSP00000419088,9606.ENSP00000419325,9606.ENSP00000429931,9606.ENSP00000431822,9606.ENSP00000436049,9606.ENSP00000443459,9606.ENSP00000450436,9606.ENSP00000456436,9606.ENSP00000460871,9606.ENSP00000464342,9606.ENSP00000470059,9606.ENSP00000471455,9606.ENSP00000475924,9606.ENSP00000478600,9606.ENSP00000479153,9606.ENSP00000496250,9606.ENSP00000498684,9606.ENSP00000499058,9606.ENSP00000499387	GNA11,TNS1,SPG21,TECR,ABCF2,PLOD3,SEC61B,SLC25A11,DAZAP1,ZC3HAV1,VASP,UROD,DOCK7,NDUFA10,PXDN,EIF3G,FUS,MICAL2,RRAS2,MRPL15,SULF1,UBE2K,KPNA3,MGLL,AFG3L2,SCYL1,AKR1B1,MYO1E,ARHGAP17,ITGA5,NCSTN,ARFIP1,ITGA2,COL1A2,HSD3B7,PGM2L1,ATP5PD,COPS6,ALCAM,RPL13,GPD2,RPL38,CLPTM1L,ARFGAP1,GYS1,RAP2B,TMEM11,CD276,SRRM1,CUL1,HGS,GSDME,OSTF1,SDSL,SNRPD2,MEAK7,RPL27A,P3H4,PDLIM7,STOML2,GMPPA,STIP1,CES1,DPP4,UBE2Z,GPX7,MT-CO2,SCCPDH,DYNLT1,TOR1AIP2,IFI16,S100A6,ACADSB,NDUFAF4,NHLRC2,GBP1,TM9SF3,COL5A1,ENG,NFS1,SLC39A7,MAPRE1,EFHD2,LMO7,RRBP1,POSTN,RBBP7,RPS6,TMSB4X,CD99,SGCB,NADK2,SRXN1,DIAPH1,RPL13A,DBN1,SUCLG1,CNP,PPME1,FAM234A,LRRC32,AP1M1,RPL23A,PPP1R12A,NECAP2,ATP2B1,TMX1,MXRA8,EWSR1,RHOA,SLC9A3R2,MPST,CBFB,GOLIM4,FAM162A,SUCLG2,EIF3H,FAU,EIF3M,BCAT1,ALDH6A1,CNN2,RSL1D1,RPL36,M0QYT0_HUMAN,CCDC124,POLDIP2,P3H3,EHD1,RPL11,FHL1,DIABLO,SDF4
GO Component	GO:0005743	Mitochondrial inner membrane	11	502	0.51	0.0375	9606.ENSP00000225665,9606.ENSP00000252711,9606.ENSP00000260102,9606.ENSP00000269143,9606.ENSP00000301587,9606.ENSP00000308610,9606.ENSP00000319992,9606.ENSP00000348886,9606.ENSP00000354876,9606.ENSP00000358272,9606.ENSP00000377470	SLC25A11,NDUFA10,MRPL15,AFG3L2,ATP5PD,GPD2,TMEM11,STOML2,MT-CO2,NDUFAF4,CNP
STRING clusters	CL:143	Viral mRNA Translation, and Sec61 translocon complex	7	108	0.98	0.0257	9606.ENSP00000307889,9606.ENSP00000309830,9606.ENSP00000346015,9606.ENSP00000375730,9606.ENSP00000431822,9606.ENSP00000464342,9606.ENSP00000496250	RPL13,RPL38,RPL27A,RPL13A,FAU,RPL36,RPL11
STRING clusters	CL:165	Cytoplasmic ribosomal proteins	6	61	1.16	0.0257	9606.ENSP00000307889,9606.ENSP00000309830,9606.ENSP00000346015,9606.ENSP00000375730,9606.ENSP00000431822,9606.ENSP00000464342	RPL13,RPL38,RPL27A,RPL13A,FAU,RPL36
STRING clusters	CL:167	Cytoplasmic ribosomal proteins	5	45	1.21	0.0257	9606.ENSP00000307889,9606.ENSP00000346015,9606.ENSP00000375730,9606.ENSP00000431822,9606.ENSP00000464342	RPL13,RPL27A,RPL13A,FAU,RPL36
STRING clusters	CL:169	Cytoplasmic ribosomal proteins	4	32	1.26	0.0257	9606.ENSP00000307889,9606.ENSP00000346015,9606.ENSP00000375730,9606.ENSP00000431822	RPL13,RPL27A,RPL13A,FAU
STRING clusters	CL:19457	Extracellular matrix organization	9	180	0.87	0.0257	9606.ENSP00000223127,9606.ENSP00000293379,9606.ENSP00000296585,9606.ENSP00000297268,9606.ENSP00000347649,9606.ENSP00000360882,9606.ENSP00000369071,9606.ENSP00000384126,9606.ENSP00000478600	PLOD3,ITGA5,ITGA2,COL1A2,P3H4,COL5A1,POSTN,LRRC32,P3H3
STRING clusters	CL:19458	Collagen formation, and Protein complex involved in cell adhesion	7	119	0.94	0.0257	9606.ENSP00000223127,9606.ENSP00000293379,9606.ENSP00000296585,9606.ENSP00000297268,9606.ENSP00000347649,9606.ENSP00000360882,9606.ENSP00000478600	PLOD3,ITGA5,ITGA2,COL1A2,P3H4,COL5A1,P3H3
KEGG	hsa03010	Ribosome	10	131	1.05	1.38e-05	9606.ENSP00000260102,9606.ENSP00000307889,9606.ENSP00000309830,9606.ENSP00000346015,9606.ENSP00000369757,9606.ENSP00000375730,9606.ENSP00000389103,9606.ENSP00000431822,9606.ENSP00000464342,9606.ENSP00000496250	MRPL15,RPL13,RPL38,RPL27A,RPS6,RPL13A,RPL23A,FAU,RPL36,RPL11
Reactome	HSA-72689	Formation of a pool of free 40S subunits	11	100	1.21	5.38e-07	9606.ENSP00000253108,9606.ENSP00000307889,9606.ENSP00000309830,9606.ENSP00000346015,9606.ENSP00000369757,9606.ENSP00000375730,9606.ENSP00000389103,9606.ENSP00000429931,9606.ENSP00000436049,9606.ENSP00000464342,9606.ENSP00000496250	EIF3G,RPL13,RPL38,RPL27A,RPS6,RPL13A,RPL23A,EIF3H,EIF3M,RPL36,RPL11
Reactome	HSA-156827	L13a-mediated translational silencing of Ceruloplasmin expression	11	110	1.17	6.85e-07	9606.ENSP00000253108,9606.ENSP00000307889,9606.ENSP00000309830,9606.ENSP00000346015,9606.ENSP00000369757,9606.ENSP00000375730,9606.ENSP00000389103,9606.ENSP00000429931,9606.ENSP00000436049,9606.ENSP00000464342,9606.ENSP00000496250	EIF3G,RPL13,RPL38,RPL27A,RPS6,RPL13A,RPL23A,EIF3H,EIF3M,RPL36,RPL11
Reactome	HSA-72706	GTP hydrolysis and joining of the 60S ribosomal subunit	11	111	1.16	6.85e-07	9606.ENSP00000253108,9606.ENSP00000307889,9606.ENSP00000309830,9606.ENSP00000346015,9606.ENSP00000369757,9606.ENSP00000375730,9606.ENSP00000389103,9606.ENSP00000429931,9606.ENSP00000436049,9606.ENSP00000464342,9606.ENSP00000496250	EIF3G,RPL13,RPL38,RPL27A,RPS6,RPL13A,RPL23A,EIF3H,EIF3M,RPL36,RPL11
Reactome	HSA-1799339	SRP-dependent cotranslational protein targeting to membrane	9	110	1.08	4.40e-05	9606.ENSP00000223641,9606.ENSP00000307889,9606.ENSP00000309830,9606.ENSP00000346015,9606.ENSP00000369757,9606.ENSP00000375730,9606.ENSP00000389103,9606.ENSP00000464342,9606.ENSP00000496250	SEC61B,RPL13,RPL38,RPL27A,RPS6,RPL13A,RPL23A,RPL36,RPL11
Reactome	HSA-72766	Translation	13	290	0.82	4.72e-05	9606.ENSP00000223641,9606.ENSP00000253108,9606.ENSP00000260102,9606.ENSP00000307889,9606.ENSP00000309830,9606.ENSP00000346015,9606.ENSP00000369757,9606.ENSP00000375730,9606.ENSP00000389103,9606.ENSP00000429931,9606.ENSP00000436049,9606.ENSP00000464342,9606.ENSP00000496250	SEC61B,EIF3G,MRPL15,RPL13,RPL38,RPL27A,RPS6,RPL13A,RPL23A,EIF3H,EIF3M,RPL36,RPL11
Reactome	HSA-156902	Peptide chain elongation	8	88	1.13	8.08e-05	9606.ENSP00000307889,9606.ENSP00000309830,9606.ENSP00000346015,9606.ENSP00000369757,9606.ENSP00000375730,9606.ENSP00000389103,9606.ENSP00000464342,9606.ENSP00000496250	RPL13,RPL38,RPL27A,RPS6,RPL13A,RPL23A,RPL36,RPL11
Reactome	HSA-192823	Viral mRNA Translation	8	88	1.13	8.08e-05	9606.ENSP00000307889,9606.ENSP00000309830,9606.ENSP00000346015,9606.ENSP00000369757,9606.ENSP00000375730,9606.ENSP00000389103,9606.ENSP00000464342,9606.ENSP00000496250	RPL13,RPL38,RPL27A,RPS6,RPL13A,RPL23A,RPL36,RPL11
Reactome	HSA-2408557	Selenocysteine synthesis	8	92	1.11	8.87e-05	9606.ENSP00000307889,9606.ENSP00000309830,9606.ENSP00000346015,9606.ENSP00000369757,9606.ENSP00000375730,9606.ENSP00000389103,9606.ENSP00000464342,9606.ENSP00000496250	RPL13,RPL38,RPL27A,RPS6,RPL13A,RPL23A,RPL36,RPL11
Reactome	HSA-72764	Eukaryotic Translation Termination	8	92	1.11	8.87e-05	9606.ENSP00000307889,9606.ENSP00000309830,9606.ENSP00000346015,9606.ENSP00000369757,9606.ENSP00000375730,9606.ENSP00000389103,9606.ENSP00000464342,9606.ENSP00000496250	RPL13,RPL38,RPL27A,RPS6,RPL13A,RPL23A,RPL36,RPL11
Reactome	HSA-975956	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	8	94	1.1	8.87e-05	9606.ENSP00000307889,9606.ENSP00000309830,9606.ENSP00000346015,9606.ENSP00000369757,9606.ENSP00000375730,9606.ENSP00000389103,9606.ENSP00000464342,9606.ENSP00000496250	RPL13,RPL38,RPL27A,RPS6,RPL13A,RPL23A,RPL36,RPL11
Reactome	HSA-9633012	Response of EIF2AK4 (GCN2) to amino acid deficiency	8	100	1.07	0.00011	9606.ENSP00000307889,9606.ENSP00000309830,9606.ENSP00000346015,9606.ENSP00000369757,9606.ENSP00000375730,9606.ENSP00000389103,9606.ENSP00000464342,9606.ENSP00000496250	RPL13,RPL38,RPL27A,RPS6,RPL13A,RPL23A,RPL36,RPL11
Reactome	HSA-422475	Axon guidance	16	551	0.63	0.00022	9606.ENSP00000245932,9606.ENSP00000293379,9606.ENSP00000294785,9606.ENSP00000296585,9606.ENSP00000305988,9606.ENSP00000307889,9606.ENSP00000309830,9606.ENSP00000346015,9606.ENSP00000348099,9606.ENSP00000360882,9606.ENSP00000369757,9606.ENSP00000375730,9606.ENSP00000389103,9606.ENSP00000400175,9606.ENSP00000464342,9606.ENSP00000496250	VASP,ITGA5,NCSTN,ITGA2,ALCAM,RPL13,RPL38,RPL27A,PDLIM7,COL5A1,RPS6,RPL13A,RPL23A,RHOA,RPL36,RPL11
Reactome	HSA-168255	Influenza Infection	9	155	0.93	0.00025	9606.ENSP00000261667,9606.ENSP00000307889,9606.ENSP00000309830,9606.ENSP00000346015,9606.ENSP00000369757,9606.ENSP00000375730,9606.ENSP00000389103,9606.ENSP00000464342,9606.ENSP00000496250	KPNA3,RPL13,RPL38,RPL27A,RPS6,RPL13A,RPL23A,RPL36,RPL11
Reactome	HSA-71291	Metabolism of amino acids and derivatives	13	368	0.72	0.00025	9606.ENSP00000307889,9606.ENSP00000309830,9606.ENSP00000341117,9606.ENSP00000346015,9606.ENSP00000357873,9606.ENSP00000369757,9606.ENSP00000375730,9606.ENSP00000389103,9606.ENSP00000411719,9606.ENSP00000443459,9606.ENSP00000450436,9606.ENSP00000464342,9606.ENSP00000496250	RPL13,RPL38,SDSL,RPL27A,ACADSB,RPS6,RPL13A,RPL23A,MPST,BCAT1,ALDH6A1,RPL36,RPL11
Reactome	HSA-975957	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	8	114	1.01	0.00025	9606.ENSP00000307889,9606.ENSP00000309830,9606.ENSP00000346015,9606.ENSP00000369757,9606.ENSP00000375730,9606.ENSP00000389103,9606.ENSP00000464342,9606.ENSP00000496250	RPL13,RPL38,RPL27A,RPS6,RPL13A,RPL23A,RPL36,RPL11
Reactome	HSA-376176	Signaling by ROBO receptors	10	215	0.83	0.00032	9606.ENSP00000245932,9606.ENSP00000307889,9606.ENSP00000309830,9606.ENSP00000346015,9606.ENSP00000369757,9606.ENSP00000375730,9606.ENSP00000389103,9606.ENSP00000400175,9606.ENSP00000464342,9606.ENSP00000496250	VASP,RPL13,RPL38,RPL27A,RPS6,RPL13A,RPL23A,RHOA,RPL36,RPL11
Reactome	HSA-1430728	Metabolism	32	2092	0.35	0.00093	9606.ENSP00000078429,9606.ENSP00000215567,9606.ENSP00000225665,9606.ENSP00000246337,9606.ENSP00000252711,9606.ENSP00000265052,9606.ENSP00000285930,9606.ENSP00000297679,9606.ENSP00000298198,9606.ENSP00000301587,9606.ENSP00000307889,9606.ENSP00000308610,9606.ENSP00000309830,9606.ENSP00000317904,9606.ENSP00000341117,9606.ENSP00000346015,9606.ENSP00000353720,9606.ENSP00000354876,9606.ENSP00000357873,9606.ENSP00000358272,9606.ENSP00000363205,9606.ENSP00000369757,9606.ENSP00000371362,9606.ENSP00000375730,9606.ENSP00000377446,9606.ENSP00000389103,9606.ENSP00000411719,9606.ENSP00000419325,9606.ENSP00000443459,9606.ENSP00000450436,9606.ENSP00000464342,9606.ENSP00000496250	GNA11,TECR,SLC25A11,UROD,NDUFA10,MGLL,AKR1B1,HSD3B7,PGM2L1,ATP5PD,RPL13,GPD2,RPL38,GYS1,SDSL,RPL27A,CES1,MT-CO2,ACADSB,NDUFAF4,NFS1,RPS6,NADK2,RPL13A,SUCLG1,RPL23A,MPST,SUCLG2,BCAT1,ALDH6A1,RPL36,RPL11
Reactome	HSA-9010553	Regulation of expression of SLITs and ROBOs	8	169	0.84	0.0024	9606.ENSP00000307889,9606.ENSP00000309830,9606.ENSP00000346015,9606.ENSP00000369757,9606.ENSP00000375730,9606.ENSP00000389103,9606.ENSP00000464342,9606.ENSP00000496250	RPL13,RPL38,RPL27A,RPS6,RPL13A,RPL23A,RPL36,RPL11
Reactome	HSA-6791226	Major pathway of rRNA processing in the nucleolus and cytosol	8	181	0.81	0.0037	9606.ENSP00000307889,9606.ENSP00000309830,9606.ENSP00000346015,9606.ENSP00000369757,9606.ENSP00000375730,9606.ENSP00000389103,9606.ENSP00000464342,9606.ENSP00000496250	RPL13,RPL38,RPL27A,RPS6,RPL13A,RPL23A,RPL36,RPL11
Reactome	HSA-392499	Metabolism of proteins	28	1917	0.33	0.0070	9606.ENSP00000078429,9606.ENSP00000223641,9606.ENSP00000253108,9606.ENSP00000260102,9606.ENSP00000261427,9606.ENSP00000294785,9606.ENSP00000304102,9606.ENSP00000307889,9606.ENSP00000309830,9606.ENSP00000314615,9606.ENSP00000326804,9606.ENSP00000331201,9606.ENSP00000346015,9606.ENSP00000350949,9606.ENSP00000353720,9606.ENSP00000353731,9606.ENSP00000354201,9606.ENSP00000366757,9606.ENSP00000369424,9606.ENSP00000369757,9606.ENSP00000375730,9606.ENSP00000389103,9606.ENSP00000399229,9606.ENSP00000400175,9606.ENSP00000429931,9606.ENSP00000436049,9606.ENSP00000464342,9606.ENSP00000496250	GNA11,SEC61B,EIF3G,MRPL15,UBE2K,NCSTN,COPS6,RPL13,RPL38,ARFGAP1,CUL1,HGS,RPL27A,GMPPA,CES1,DPP4,UBE2Z,LMO7,RBBP7,RPS6,RPL13A,RPL23A,MXRA8,RHOA,EIF3H,EIF3M,RPL36,RPL11
Reactome	HSA-2262752	Cellular responses to stress	15	747	0.47	0.0148	9606.ENSP00000307889,9606.ENSP00000309830,9606.ENSP00000314615,9606.ENSP00000326804,9606.ENSP00000346015,9606.ENSP00000351646,9606.ENSP00000354677,9606.ENSP00000354876,9606.ENSP00000369424,9606.ENSP00000369757,9606.ENSP00000371388,9606.ENSP00000375730,9606.ENSP00000389103,9606.ENSP00000464342,9606.ENSP00000496250	RPL13,RPL38,ARFGAP1,CUL1,RPL27A,STIP1,GPX7,MT-CO2,RBBP7,RPS6,SRXN1,RPL13A,RPL23A,RPL36,RPL11
Reactome	HSA-8875878	MET promotes cell motility	4	41	1.16	0.0171	9606.ENSP00000251157,9606.ENSP00000296585,9606.ENSP00000297268,9606.ENSP00000360882	DOCK7,ITGA2,COL1A2,COL5A1
Reactome	HSA-6806834	Signaling by MET	5	79	0.97	0.0177	9606.ENSP00000251157,9606.ENSP00000296585,9606.ENSP00000297268,9606.ENSP00000331201,9606.ENSP00000360882	DOCK7,ITGA2,COL1A2,HGS,COL5A1
Reactome	HSA-109582	Hemostasis	13	607	0.5	0.0195	9606.ENSP00000078429,9606.ENSP00000251157,9606.ENSP00000265052,9606.ENSP00000293379,9606.ENSP00000296585,9606.ENSP00000297268,9606.ENSP00000355467,9606.ENSP00000358307,9606.ENSP00000370010,9606.ENSP00000370588,9606.ENSP00000392043,9606.ENSP00000400175,9606.ENSP00000479153	GNA11,DOCK7,MGLL,ITGA5,ITGA2,COL1A2,SCCPDH,NHLRC2,TMSB4X,CD99,ATP2B1,RHOA,EHD1
Reactome	HSA-1474290	Collagen formation	5	90	0.91	0.0295	9606.ENSP00000223127,9606.ENSP00000252804,9606.ENSP00000297268,9606.ENSP00000360882,9606.ENSP00000478600	PLOD3,PXDN,COL1A2,COL5A1,P3H3
Reactome	HSA-72695	Formation of the ternary complex, and subsequently, the 43S complex	4	51	1.06	0.0321	9606.ENSP00000253108,9606.ENSP00000369757,9606.ENSP00000429931,9606.ENSP00000436049	EIF3G,RPS6,EIF3H,EIF3M
Reactome	HSA-1266738	Developmental Biology	18	1108	0.38	0.0331	9606.ENSP00000245932,9606.ENSP00000293379,9606.ENSP00000294785,9606.ENSP00000296585,9606.ENSP00000305988,9606.ENSP00000307889,9606.ENSP00000309830,9606.ENSP00000346015,9606.ENSP00000348099,9606.ENSP00000360882,9606.ENSP00000369424,9606.ENSP00000369757,9606.ENSP00000375730,9606.ENSP00000389103,9606.ENSP00000400175,9606.ENSP00000415151,9606.ENSP00000464342,9606.ENSP00000496250	VASP,ITGA5,NCSTN,ITGA2,ALCAM,RPL13,RPL38,RPL27A,PDLIM7,COL5A1,RBBP7,RPS6,RPL13A,RPL23A,RHOA,CBFB,RPL36,RPL11
Reactome	HSA-70895	Branched-chain amino acid catabolism	3	21	1.32	0.0331	9606.ENSP00000357873,9606.ENSP00000443459,9606.ENSP00000450436	ACADSB,BCAT1,ALDH6A1
Reactome	HSA-9013405	RHOD GTPase cycle	4	52	1.05	0.0331	9606.ENSP00000289968,9606.ENSP00000365147,9606.ENSP00000373706,9606.ENSP00000377195	ARHGAP17,EFHD2,DIAPH1,DBN1
Reactome	HSA-72649	Translation initiation complex formation	4	58	1.01	0.0457	9606.ENSP00000253108,9606.ENSP00000369757,9606.ENSP00000429931,9606.ENSP00000436049	EIF3G,RPS6,EIF3H,EIF3M
Reactome	HSA-72702	Ribosomal scanning and start codon recognition	4	58	1.01	0.0457	9606.ENSP00000253108,9606.ENSP00000369757,9606.ENSP00000429931,9606.ENSP00000436049	EIF3G,RPS6,EIF3H,EIF3M
WikiPathways	WP477	Cytoplasmic ribosomal proteins	9	88	1.18	1.51e-05	9606.ENSP00000307889,9606.ENSP00000309830,9606.ENSP00000346015,9606.ENSP00000369757,9606.ENSP00000375730,9606.ENSP00000389103,9606.ENSP00000431822,9606.ENSP00000464342,9606.ENSP00000496250	RPL13,RPL38,RPL27A,RPS6,RPL13A,RPL23A,FAU,RPL36,RPL11
WikiPathways	WP3888	VEGFA-VEGFR2 signaling	15	428	0.71	0.00013	9606.ENSP00000223127,9606.ENSP00000225665,9606.ENSP00000256194,9606.ENSP00000331201,9606.ENSP00000338727,9606.ENSP00000351646,9606.ENSP00000362299,9606.ENSP00000369757,9606.ENSP00000370010,9606.ENSP00000375730,9606.ENSP00000377470,9606.ENSP00000400142,9606.ENSP00000400175,9606.ENSP00000429931,9606.ENSP00000471455	PLOD3,SLC25A11,MICAL2,HGS,LRRFIP2,STIP1,ENG,RPS6,TMSB4X,RPL13A,CNP,EWSR1,RHOA,EIF3H,CCDC124
